surrgain,EpRewMean,meankl,EpisodesSoFar,EpTrueRewMean,TimeElapsed,TimestepsSoFar,entloss,EpThisIter,EpLenMean,ev_tdlam_before,entropy,optimgain
0.23089035,0.55124104,0.0055130664,14058,427.8340884692555,25376.95763206482,1101518,0.0,11,84.525,0.43456560373306274,23.607922,0.23089035
0.3920048,0.5085872,0.0050305696,14070,429.66321144509845,25400.306562185287,1102596,0.0,12,85.3,0.010205268859863281,23.609013,0.3920048
0.41378993,0.56102437,0.0062811114,14084,419.30564954013187,25423.088143110275,1103650,0.0,14,82.6,-0.03218662738800049,23.610317,0.41378993
0.2875769,0.6342821,0.0055312617,14097,408.54151398048515,25446.060198307037,1104601,0.0,13,79.575,0.07682770490646362,23.610224,0.2875769
0.17832983,0.651511,0.006132854,14108,404.6994224960679,25468.992824077606,1105575,0.0,11,78.45,0.058080196380615234,23.608532,0.17832983
0.1622232,0.5297147,0.005643138,14121,412.1240645057901,25491.670636177063,1106646,0.0,13,80.1,0.22705698013305664,23.608065,0.1622232
0.2798931,0.5962484,0.004967548,14135,414.1532337100272,25514.480538129807,1107688,0.0,14,80.225,0.1346282958984375,23.606922,0.2798931
0.42257047,0.60478365,0.0055628023,14147,408.43423872348427,25537.359251976013,1108691,0.0,12,79.5,0.06427258253097534,23.607464,0.42257047
0.16523457,0.51613015,0.0062924554,14161,396.70043682901894,25560.29226899147,1109780,0.0,14,78.35,0.1262856125831604,23.606936,0.16523457
0.19439614,0.31795067,0.005590677,14175,384.90694786506594,25582.851449251175,1110772,0.0,14,77.1,0.053627967834472656,23.606579,0.19439614
0.1911614,0.32664138,0.0052789752,14189,370.3778180454713,25605.824135303497,1111820,0.0,14,73.975,-0.0019472837448120117,23.603642,0.1911614
0.3691121,0.50849426,0.0058971783,14202,384.0463383379327,25629.260109186172,1112856,0.0,13,75.425,0.002854287624359131,23.603518,0.3691121
0.16989371,0.514845,0.004933942,14215,395.7573502368192,25652.231901168823,1113885,0.0,13,77.825,-0.7658212184906006,23.601688,0.16989371
0.16331428,0.48870572,0.004740201,14228,397.2685462941337,25674.95301604271,1114913,0.0,13,78.975,-0.40068328380584717,23.601595,0.16331428
