entloss,EpThisIter,EpRewMean,EpisodesSoFar,entropy,ev_tdlam_before,TimestepsSoFar,meankl,TimeElapsed,EpLenMean,EpTrueRewMean,surrgain,optimgain
0.0,14,9.357458,3104,23.22803,0.8190794885158539,224826,0.014009031,5991.613556146622,80.525,417.42763495776217,0.28177884,0.28177884
0.0,13,9.299759,3117,23.225101,0.8303088992834091,225861,0.012888219,6014.772010087967,80.325,420.4349801296979,0.28595096,0.28595096
0.0,12,8.960975,3129,23.22184,0.707066684961319,226800,0.014738837,6038.495500087738,79.875,421.8038741008524,0.29870036,0.29870036
0.0,11,8.638559,3140,23.218266,0.8027400374412537,227731,0.014469809,6062.498984098434,80.3,424.54863225585206,0.32333302,0.32333302
0.0,13,8.529347,3153,23.21532,0.8104728609323502,228749,0.013489028,6086.125786066055,80.075,422.5661683936993,0.33301532,0.33301532
0.0,13,8.415865,3166,23.206863,0.8237411230802536,229850,0.003777106,6109.503508090973,82.45,434.57783644638147,0.13314661,0.13314661
0.0,12,8.4439945,3178,23.203966,0.8354219645261765,230844,0.0038513457,6133.076789855957,82.625,433.9233251485637,0.13530287,0.13530287
0.0,12,8.159336,3190,23.185514,0.7875230610370636,231881,0.014899803,6156.260921001434,82.95,432.05668307087217,0.26366168,0.26366168
0.0,13,8.293475,3203,23.188967,0.7901581674814224,232925,0.014835431,6179.827276945114,82.7,430.55780237212275,0.27141535,0.27141535
0.0,13,8.131573,3216,23.18506,0.7415424585342407,233948,0.014479264,6203.324690103531,81.05,422.44558899158176,0.27664587,0.27664587
0.0,11,8.123505,3227,23.186,0.8748105466365814,234955,0.0037877164,6226.570019006729,83.775,439.6094614027161,0.14191236,0.14191236
0.0,11,8.116482,3238,23.17953,0.8548261374235153,235979,0.014702716,6249.726056098938,85.7,448.15771292457964,0.31216568,0.31216568
0.0,12,8.141062,3250,23.163734,0.7957274317741394,236973,0.013821011,6273.411045074463,88.375,461.622318347263,0.26303214,0.26303214
0.0,11,8.147728,3261,23.165693,0.7505564093589783,238012,0.004221294,6296.785390138626,89.875,466.64629892216664,0.13781485,0.13781485
0.0,11,7.922188,3272,23.16764,0.8631973415613174,239039,0.00417374,6320.212517023087,91.075,471.7481994321191,0.14408468,0.14408468
0.0,12,7.450567,3284,23.165655,0.7810447365045547,240035,0.0038037347,6343.663236141205,88.125,462.69673882577774,0.13828465,0.13828465
0.0,13,7.1783514,3297,23.159834,0.8218095898628235,241068,0.014666187,6367.193187952042,85.075,447.63686681705747,0.3135968,0.3135968
0.0,12,7.293597,3309,23.156773,0.779834046959877,242146,0.0038744437,6390.932255983353,83.3,443.93018006673685,0.14247373,0.14247373
0.0,12,7.394661,3321,23.160812,0.7807704657316208,243151,0.0038057277,6414.582319974899,82.7,436.1794132379996,0.1497154,0.1497154
